nc1-8_1_2,nc1-8_2_1,nc1-8_2_2,nc1-8_1_1,s10-12_1_1,s10-12_1_2,s10-12_2_1,s10-12_2_2,nc14_1_1,nc14_1_2,nc14_2_1,nc14_2_2,nc14.FED_1_1,nc14.FED_1_2,nc14.FED.rerun_1_1,nc14.FED.rerun_1_2,nc12.mitotic.FED_1_1,nc12.mitotic.FED_1_2,nc12.mitotic.FED.rerun_1_1,nc12.mitotic.FED.rerun_1_2
1.6827207687548127,0.5008987710564538,0.3876485632426279,1.0027017600999,0.9706894364367509,1.0428260724145495,0.6692254292532211,0.7605704445892961,0.8280782191648284,1.0358941858879454,1.317444394717455,0.4929324443822686,1.0225847550461982,1.056848546730289,0.6468734779250106,0.6214992459061307,1.6903297593322286,1.9727033227354158,1.0765009108205637,1.221029491504054
0.6566987889465797,0.1922186095570941,0.15331164328253113,0.39564100125047785,1.0018108996115118,1.1341061549376728,0.7057523970270009,0.813811806999109,1.559942430578951,1.5015634483792242,1.9223746368049455,0.637264026766266,2.286820364285162,2.6020426666302816,1.5162340002900485,1.5223690059105524,0.39308932089963566,0.47173643391237674,0.24840195067804505,0.28481041325253753
1.5470363341808557,0.4903620120579743,0.36093061459607945,0.9803040405398125,0.9256828309968773,1.01529380703525,0.6415496466356782,0.7449290727829564,0.844649271515038,1.0514057267389205,1.3282840134719727,0.5186214416454029,1.1459585743037068,1.179861005269379,0.7305899971981381,0.6923619860036873,1.6470474926537795,1.9134692121758496,1.0503594139922883,1.1913035062063535
0.69234178577966,0.20375862984060858,0.1620385167834888,0.4107022000291715,0.9662367450438225,1.0580273006645786,0.6718144098487426,0.7450805012249263,1.5316999197561234,1.5349350040307306,1.8659992583195613,0.6507240204903314,2.4227058240269312,2.5637152245040387,1.4821507911137726,1.4684256291483055,0.4424790280457612,0.5163837684074465,0.2868377404760302,0.3239437024659717
1.3931525392630688,0.40851962444957335,0.3178650456497177,0.8173788146585215,0.9316924658250691,1.0081197066801102,0.6469396735685269,0.726624117997521,0.8624466599190963,1.0614690819047752,1.3495670084843814,0.5135851116025243,1.1524831941192768,1.1993438008073385,0.7331810469593377,0.7040731653306551,1.7424067379203227,2.0494620177749234,1.116526810726746,1.2651633763585142
1.577785775254407,0.4475964697701698,0.366319200929356,0.895385639129293,0.9281113329983877,1.018124322892914,0.6436730481476709,0.7399095502135339,0.8699308226795206,1.033535604664852,1.314262310610165,0.4957406119709537,1.1062793084565545,1.131617345313248,0.698925200149488,0.6673682294707886,1.727673376639351,1.9943223393358125,1.1025541898828015,1.24088532149073
1.4688114417001692,0.43461742990877456,0.33916885585934037,0.8698099852375623,0.9440887580069816,1.0161627511265783,0.6527724814497111,0.7381764705967626,0.8387899244823439,1.0451029237448208,1.3258461934517198,0.5014971919410379,1.0996869009929697,1.1298804806740679,0.6943472385556142,0.6641234859026759,1.765880840496998,2.0512541261822754,1.1314070776813212,1.2885754420082765
2.037044764369846,0.6449051436271723,0.47289757348182515,1.2855545668710606,0.9699043214484242,1.0749274616150295,0.6762460740866986,0.7880773647702074,0.8536588852114682,1.0646191488496168,1.3558102060626689,0.5104967600219747,0.9779298615369699,0.9984649731505609,0.6199764273307962,0.5868016006133217,1.437968867056822,1.6749188629298526,0.9216841605226636,1.0481129764430221
1.1396604831232182,0.34836727297331527,0.26283333842184553,0.6935241288618476,0.915411682868711,1.015201119549909,0.6332468307874816,0.7391814750261634,1.0048477596135543,1.258974994608798,1.6037193920291608,0.6230910141352163,1.634989238600048,1.6704776603401033,1.0252971401823257,0.9752973983802218,1.26902341985111,1.47349017156527,0.8022017022085686,0.9111637768731286
1.1171609088135137,0.3119142021083717,0.26105015714818103,0.6224794904726817,0.9244383466487149,1.0111477083342781,0.6437334787698571,0.734800106069268,1.058776213475291,1.2815915984532111,1.618123597664224,0.6000496537958802,1.6008340941502186,1.6537487666051482,1.0115104530882064,0.9724387004758474,1.2976067744634694,1.5046688189897235,0.8319651149540939,0.9419618155198197
1.0942634117747572,0.31909666710695145,0.25485878222615166,0.6440211254534288,0.9488321990304027,1.0058469364559526,0.6527373089936642,0.7233780693195992,1.000123449556056,1.2236850580770204,1.542221931390217,0.5879189098097266,1.4744938501359026,1.5397449653352895,0.9428522027152426,0.9076582220345976,1.4542299825919727,1.6879017265045653,0.9392405326674826,1.0568946688210186
