nc1-8_1_2,nc1-8_2_1,nc1-8_2_2,nc1-8_1_1,s10-12_1_1,s10-12_1_2,s10-12_2_1,s10-12_2_2,nc14_1_1,nc14_1_2,nc14_2_1,nc14_2_2,nc14.FED_1_1,nc14.FED_1_2,nc14.FED.rerun_1_1,nc14.FED.rerun_1_2,nc12.mitotic.FED_1_1,nc12.mitotic.FED_1_2,nc12.mitotic.FED.rerun_1_1,nc12.mitotic.FED.rerun_1_2,shifted,places
23,106,73,52,142,151,206,199,57,58,58,84,69,70,104,107,16,10,21,16,0,2L_3538400_3540800_2L_3605600_3608000
24,112,114,59,187,135,263,157,146,145,101,272,145,151,201,260,70,46,104,73,0,2R_12438400_12440800_2R_12448000_12450400
1,6,5,1,4,0,7,1,0,0,0,1,0,0,0,0,2,1,2,0,0,X_16792800_16795200_X_17140800_17143200
9,45,39,27,44,38,69,61,31,18,11,51,10,21,29,28,7,4,10,9,0,X_843200_845600_X_884000_886400
8,22,19,9,11,13,14,21,5,4,6,8,3,3,10,3,0,2,2,3,0,X_3484800_3487200_X_3571200_3573600
3,22,13,9,5,8,8,6,4,1,2,6,3,3,4,1,3,0,2,2,0,2L_11580000_11582400_2L_11764800_11767200
13,76,84,45,117,119,165,158,51,42,37,78,49,61,97,78,17,8,21,15,0,3L_19662400_19664800_3L_19681600_19684000
22,129,81,67,46,41,68,52,18,19,6,32,17,25,36,35,6,7,11,12,0,2R_22545600_22548000_2R_22560000_22562400
13,45,65,20,28,43,29,38,19,14,6,37,13,22,25,24,8,2,4,5,0,3R_28635200_28637600_3R_28670400_28672800
21,76,78,34,102,88,131,125,72,64,42,94,55,63,106,113,10,15,20,20,0,2R_8029600_8032000_2R_8049600_8052000
24,118,106,56,52,53,83,72,36,41,31,53,42,37,52,74,3,5,10,12,0,3L_18185600_18188000_3L_18232800_18235200
80,331,250,156,320,292,496,412,267,283,210,597,304,325,449,528,171,158,292,234,0,3R_29056000_29058400_3R_29060800_29063200
9,62,51,36,20,17,22,22,26,13,11,28,15,12,18,23,4,4,9,9,0,X_3720000_3722400_X_3739200_3741600
5,14,14,4,7,9,17,11,11,8,6,21,6,7,10,12,3,2,8,6,0,2L_5101600_5104000_2L_5168800_5171200
3,14,22,9,2,4,3,8,4,0,1,2,0,1,4,1,0,0,1,0,0,X_7967200_7969600_X_8060000_8062400
6,32,34,22,2,8,10,16,6,6,4,6,10,6,7,10,1,3,1,2,0,2R_25084800_25087200_2R_25181600_25184000
37,180,161,92,139,127,207,183,118,104,80,213,120,116,175,190,62,61,91,94,0,2L_8404000_8406400_2L_8412800_8415200
25,91,73,45,42,39,62,58,10,9,9,20,10,9,9,11,8,5,11,17,0,2L_19188800_19191200_2L_19362400_19364800
19,79,59,57,65,55,81,84,84,59,31,128,66,72,96,111,33,36,44,36,0,3R_15099200_15101600_3R_15119200_15121600
1,15,8,12,7,7,10,11,6,6,4,5,7,3,4,2,6,4,4,6,0,2R_7634400_7636800_2R_7782400_7784800
2,17,16,10,2,2,5,4,0,1,0,5,2,0,0,0,1,6,1,3,0,3R_28544000_28546400_3R_28634400_28636800
7,36,39,19,10,17,26,21,13,11,5,14,6,4,9,16,3,0,7,2,0,3L_3471200_3473600_3L_3514400_3516800
31,78,79,42,92,86,151,103,80,52,43,108,73,54,100,123,22,18,34,28,0,3R_27682400_27684800_3R_27692800_27695200
6,16,24,8,7,3,15,7,8,6,6,5,7,6,11,13,3,5,10,6,0,X_14387200_14389600_X_14426400_14428800
53,179,193,88,163,127,249,209,133,116,100,268,128,162,219,252,65,48,103,78,0,2R_13968800_13971200_2R_13976800_13979200
10,35,53,11,19,22,32,29,38,19,14,40,19,14,44,26,10,7,10,11,0,2R_14083200_14085600_2R_14116000_14118400
3,25,22,15,25,26,31,41,3,5,5,9,7,3,8,15,2,4,2,3,0,X_20256000_20258400_X_20388800_20391200
97,472,397,272,477,392,717,540,417,450,323,910,498,543,784,882,257,230,411,339,0,3R_13676800_13679200_3R_13680800_13683200
16,69,54,36,72,41,72,73,30,18,13,31,26,32,52,45,9,4,11,10,0,2R_10210400_10212800_2R_10237600_10240000
31,148,123,80,104,96,157,133,95,68,50,115,113,95,148,172,25,16,30,22,0,2L_5402400_5404800_2L_5460000_5462400
2,20,13,3,3,3,6,5,6,2,1,9,0,0,0,2,1,1,1,2,0,3R_18257600_18260000_3R_18376000_18378400
11,35,63,17,41,29,49,33,38,24,23,48,19,26,32,32,2,11,13,11,0,2R_14072800_14075200_2R_14112800_14115200
3,11,12,3,4,5,4,7,0,1,2,8,0,0,0,0,1,0,0,0,0,2R_13238400_13240800_2R_13430400_13432800
14,66,80,33,46,66,71,85,37,25,23,75,34,39,68,59,11,10,21,17,0,2R_22567200_22569600_2R_22590400_22592800
1,13,14,10,5,3,8,6,10,4,2,3,1,0,4,1,0,1,1,0,0,X_3349600_3352000_X_3452800_3455200
8,13,19,5,18,16,26,17,12,16,10,21,11,11,18,17,5,1,10,4,0,X_7112000_7114400_X_7153600_7156000
