nc1-8_1_2,nc1-8_2_1,nc1-8_2_2,nc1-8_1_1,s10-12_1_1,s10-12_1_2,s10-12_2_1,s10-12_2_2,nc14_1_1,nc14_1_2,nc14_2_1,nc14_2_2,nc14.FED_1_1,nc14.FED_1_2,nc14.FED.rerun_1_1,nc14.FED.rerun_1_2,nc12.mitotic.FED_1_1,nc12.mitotic.FED_1_2,nc12.mitotic.FED.rerun_1_1,nc12.mitotic.FED.rerun_1_2,shifted,places
2,18,17,7,10,14,13,11,12,5,6,11,5,11,18,18,4,4,4,10,1,X_18560800_18563200_X_18588000_18590400
4,12,15,12,12,7,14,9,12,1,4,20,8,8,16,10,10,4,7,4,1,X_18552800_18555200_X_18580000_18582400
0,9,3,4,0,2,0,4,0,1,1,1,0,0,0,1,1,2,3,1,1,3L_1316800_1319200_3L_1448000_1450400
0,9,7,0,1,2,0,0,1,1,1,2,1,1,1,0,1,3,4,2,1,3L_1308800_1311200_3L_1440000_1442400
1,4,5,4,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,2,1,3L_1300800_1303200_3L_1432000_1434400
2,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3L_1292800_1295200_3L_1424000_1426400
0,4,6,2,0,1,3,2,0,2,2,1,1,0,0,0,2,4,1,6,1,3L_1284800_1287200_3L_1416000_1418400
0,3,10,3,1,0,2,0,2,1,1,1,1,0,1,1,0,2,2,2,1,3L_1276800_1279200_3L_1408000_1410400
0,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3L_1268800_1271200_3L_1400000_1402400
2,6,2,3,1,0,4,1,1,1,0,2,0,0,0,0,1,1,3,2,1,3L_1260800_1263200_3L_1392000_1394400
0,3,3,6,1,0,2,0,3,2,2,3,0,0,1,2,2,5,4,4,1,3L_1252800_1255200_3L_1384000_1386400
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,3L_1244800_1247200_3L_1376000_1378400
4,6,11,5,2,2,2,0,1,1,0,1,1,2,2,1,1,2,2,2,1,3L_13072800_13075200_3L_13187200_13189600
4,6,6,3,3,4,4,6,3,3,6,2,2,3,0,3,1,2,0,4,1,3L_13064800_13067200_3L_13179200_13181600
1,7,9,4,6,2,7,3,0,0,0,5,1,1,4,7,1,0,3,2,1,3L_13056800_13059200_3L_13171200_13173600
2,6,4,4,4,1,3,4,2,0,0,1,0,0,2,1,0,1,0,1,1,3L_13048800_13051200_3L_13163200_13165600
2,5,10,3,2,1,3,0,1,1,1,4,0,0,0,2,3,4,4,3,1,3L_13040800_13043200_3L_13155200_13157600
1,3,6,2,0,1,2,0,0,1,0,1,0,2,1,0,0,1,1,0,1,3L_13032800_13035200_3L_13147200_13149600
0,6,7,1,1,0,1,2,0,1,1,2,0,0,0,0,3,1,4,2,1,3L_13024800_13027200_3L_13139200_13141600
1,2,7,0,0,1,0,0,0,1,2,1,0,1,2,1,1,0,7,3,1,3L_13016800_13019200_3L_13131200_13133600
1,3,3,2,0,0,0,3,0,1,0,2,2,0,1,1,0,1,3,4,1,3L_13008800_13011200_3L_13123200_13125600
1,6,5,2,0,0,3,1,2,0,1,0,0,0,0,0,2,4,2,2,1,3L_13000800_13003200_3L_13115200_13117600
13,57,65,28,12,25,31,29,25,18,13,36,13,9,22,31,15,16,17,17,1,X_8415200_8417600_X_8424000_8426400
11,28,45,10,12,11,9,12,6,5,4,9,7,3,7,6,4,4,9,7,1,X_8407200_8409600_X_8416000_8418400
11,52,63,22,26,32,43,28,23,27,14,49,13,20,21,22,38,17,44,34,1,X_8399200_8401600_X_8408000_8410400
10,54,54,30,22,23,23,22,17,22,14,42,18,13,28,18,27,24,44,36,1,X_8391200_8393600_X_8400000_8402400
11,41,80,21,24,21,49,42,55,34,18,47,40,31,49,54,19,12,30,26,1,X_8383200_8385600_X_8392000_8394400
21,37,66,20,15,14,40,28,32,31,25,55,29,25,51,50,20,22,34,29,1,X_8375200_8377600_X_8384000_8386400
20,34,67,17,26,19,29,23,35,21,14,52,31,23,44,37,18,9,17,17,1,X_8367200_8369600_X_8376000_8378400
12,28,51,21,14,7,18,13,19,12,9,31,18,18,34,27,11,16,14,20,1,X_8359200_8361600_X_8368000_8370400
12,32,36,10,10,16,19,14,26,9,10,30,16,18,21,25,10,4,14,7,1,X_8351200_8353600_X_8360000_8362400
11,28,49,16,12,12,19,22,22,14,11,34,18,12,29,31,22,9,27,23,1,X_8343200_8345600_X_8352000_8354400
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2R_5660800_5663200_2R_5940000_5942400
2,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2R_5652800_5655200_2R_5932000_5934400
0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2R_5644800_5647200_2R_5924000_5926400
2,1,6,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,2,2,1,2R_5636800_5639200_2R_5916000_5918400
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2R_5628800_5631200_2R_5908000_5910400
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2R_5620800_5623200_2R_5900000_5902400
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,1,2R_5612800_5615200_2R_5892000_5894400
2,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,2R_5604800_5607200_2R_5884000_5886400
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2R_5596800_5599200_2R_5876000_5878400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2R_5588800_5591200_2R_5868000_5870400
0,1,3,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3R_19198400_19200800_3R_19736800_19739200
0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,1,3R_19190400_19192800_3R_19728800_19731200
0,2,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,2,1,3R_19182400_19184800_3R_19720800_19723200
0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,1,3R_19174400_19176800_3R_19712800_19715200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3R_19166400_19168800_3R_19704800_19707200
0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,3,0,2,0,1,3R_19158400_19160800_3R_19696800_19699200
0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3R_19150400_19152800_3R_19688800_19691200
0,2,2,1,0,1,1,1,0,0,0,0,0,0,1,0,2,3,1,2,1,3R_19142400_19144800_3R_19680800_19683200
2,2,3,1,0,0,1,2,0,0,0,0,1,1,1,0,1,1,1,2,1,3R_19134400_19136800_3R_19672800_19675200
1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,3R_19126400_19128800_3R_19664800_19667200
1,7,6,3,3,0,2,2,1,0,1,0,0,0,0,1,2,2,1,1,1,3L_22367200_22369600_3L_22531200_22533600
1,6,11,2,2,3,4,1,1,4,1,3,0,0,0,4,2,0,8,1,1,3L_22359200_22361600_3L_22523200_22525600
0,6,5,5,2,2,0,4,0,0,1,4,2,2,0,1,2,2,2,3,1,3L_22351200_22353600_3L_22515200_22517600
1,8,9,4,1,0,3,2,1,0,0,0,0,0,1,1,1,2,6,1,1,3L_22343200_22345600_3L_22507200_22509600
1,7,5,3,4,1,3,2,0,2,1,1,0,0,2,2,1,1,4,2,1,3L_22335200_22337600_3L_22499200_22501600
1,2,7,3,2,1,4,1,2,3,0,1,0,1,2,1,2,0,3,0,1,3L_22327200_22329600_3L_22491200_22493600
2,9,10,3,0,0,2,0,0,2,1,2,1,1,1,0,4,3,2,1,1,3L_22319200_22321600_3L_22483200_22485600
2,6,8,2,2,3,2,2,1,0,0,4,0,0,1,1,1,0,3,2,1,3L_22311200_22313600_3L_22475200_22477600
0,5,4,3,5,4,4,6,2,0,2,3,1,1,3,1,7,3,9,9,1,3L_22303200_22305600_3L_22467200_22469600
2,8,6,7,2,3,4,4,1,1,0,1,2,0,2,0,4,1,6,6,1,3L_22295200_22297600_3L_22459200_22461600
11,40,55,12,17,25,24,31,35,24,21,38,28,19,33,35,10,13,12,19,1,X_16516800_16519200_X_16525600_16528000
10,37,51,20,7,19,21,32,31,12,19,39,25,16,36,28,17,6,21,9,1,X_16508800_16511200_X_16517600_16520000
10,44,56,18,19,20,25,31,39,18,17,47,25,17,38,46,14,8,27,21,1,X_16500800_16503200_X_16509600_16512000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X_16492800_16495200_X_16501600_16504000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X_16484800_16487200_X_16493600_16496000
8,45,70,26,20,27,42,33,33,41,21,51,25,29,58,64,12,21,27,23,1,X_16476800_16479200_X_16485600_16488000
16,41,62,16,14,21,25,24,33,14,14,34,24,27,35,26,8,2,16,12,1,X_16468800_16471200_X_16477600_16480000
14,36,67,15,18,21,32,29,26,16,10,39,23,18,41,43,9,11,15,8,1,X_16460800_16463200_X_16469600_16472000
12,26,60,16,12,17,15,20,23,26,11,21,8,20,21,27,7,9,12,12,1,X_16452800_16455200_X_16461600_16464000
13,29,50,20,8,10,9,14,10,5,4,18,10,3,10,6,6,3,8,6,1,X_16444800_16447200_X_16453600_16456000
2,19,16,4,1,3,8,5,3,2,3,5,3,2,3,5,2,3,5,4,1,2L_12576800_12579200_2L_12637600_12640000
2,6,13,6,2,5,7,7,2,7,2,14,0,2,3,3,4,1,6,1,1,2L_12568800_12571200_2L_12629600_12632000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2L_12560800_12563200_2L_12621600_12624000
5,8,15,4,8,4,6,5,3,1,0,3,1,1,4,2,2,1,3,2,1,2L_12552800_12555200_2L_12613600_12616000
3,14,12,7,2,4,3,5,0,1,2,0,0,1,1,1,0,0,0,0,1,2L_12544800_12547200_2L_12605600_12608000
6,13,17,7,9,6,11,6,2,1,2,7,8,2,7,4,7,7,8,3,1,2L_12536800_12539200_2L_12597600_12600000
1,5,9,4,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,4,1,2L_12528800_12531200_2L_12589600_12592000
5,8,11,3,5,2,4,1,1,1,1,2,0,0,0,1,1,3,2,3,1,2L_12520800_12523200_2L_12581600_12584000
1,7,10,4,1,2,1,1,1,1,0,3,2,2,2,1,1,0,1,1,1,2L_12512800_12515200_2L_12573600_12576000
2,9,13,4,1,1,0,1,0,0,1,2,0,1,1,2,1,1,2,2,1,2L_12504800_12507200_2L_12565600_12568000
0,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1,1,2R_17809600_17812000_2R_18085600_18088000
1,2,3,2,2,0,1,2,0,0,0,1,0,0,0,0,1,1,1,3,1,2R_17801600_17804000_2R_18077600_18080000
3,4,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,2R_17793600_17796000_2R_18069600_18072000
1,3,2,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,2,1,1,2R_17785600_17788000_2R_18061600_18064000
1,4,4,1,0,0,1,1,0,2,1,0,0,0,1,0,2,0,3,1,1,2R_17777600_17780000_2R_18053600_18056000
0,3,5,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,1,2R_17769600_17772000_2R_18045600_18048000
2,0,2,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,5,1,2R_17761600_17764000_2R_18037600_18040000
1,2,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,4,3,1,2R_17753600_17756000_2R_18029600_18032000
0,1,2,1,0,1,0,1,1,1,0,0,0,0,0,1,1,2,1,3,1,2R_17745600_17748000_2R_18021600_18024000
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2R_17737600_17740000_2R_18013600_18016000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2L_16008800_16011200_2L_16156800_16159200
1,9,5,4,3,4,3,6,2,2,1,3,2,0,1,2,0,0,3,0,1,2L_16000800_16003200_2L_16148800_16151200
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2L_15992800_15995200_2L_16140800_16143200
0,4,9,2,3,2,5,6,3,4,4,3,1,3,3,4,4,2,3,0,1,2L_15984800_15987200_2L_16132800_16135200
1,5,4,2,0,2,4,2,2,2,1,0,0,2,1,4,0,3,0,2,1,2L_15976800_15979200_2L_16124800_16127200
2,5,4,3,2,0,5,3,4,1,2,4,3,0,3,4,1,1,4,1,1,2L_15968800_15971200_2L_16116800_16119200
4,5,10,3,3,2,3,0,3,1,1,1,0,1,4,2,1,1,2,3,1,2L_15960800_15963200_2L_16108800_16111200
3,8,8,6,3,5,2,3,2,1,0,2,0,1,4,2,0,0,2,1,1,2L_15952800_15955200_2L_16100800_16103200
2,5,11,2,0,2,5,1,3,2,0,1,3,1,2,1,0,1,0,1,1,2L_15944800_15947200_2L_16092800_16095200
1,10,1,2,0,1,2,1,1,0,0,4,0,2,0,2,0,2,0,1,1,2L_15936800_15939200_2L_16084800_16087200
30,71,95,29,21,27,31,41,25,36,33,69,19,31,25,42,22,16,27,29,1,2R_16166400_16168800_2R_16177600_16180000
11,64,69,37,24,28,41,30,18,25,24,65,18,25,36,42,14,7,21,23,1,2R_16158400_16160800_2R_16169600_16172000
21,72,86,33,32,34,65,62,24,28,16,57,25,32,50,44,9,10,19,19,1,2R_16150400_16152800_2R_16161600_16164000
17,57,64,29,13,17,23,21,22,24,14,58,24,25,38,31,20,12,19,15,1,2R_16142400_16144800_2R_16153600_16156000
26,65,92,30,21,17,38,33,23,28,22,51,22,21,42,35,17,11,24,24,1,2R_16134400_16136800_2R_16145600_16148000
16,48,78,24,32,28,48,46,41,29,20,59,40,35,61,63,10,11,10,21,1,2R_16126400_16128800_2R_16137600_16140000
15,49,65,24,30,20,30,28,27,17,17,44,22,18,20,36,17,7,20,21,1,2R_16118400_16120800_2R_16129600_16132000
23,79,105,44,60,72,69,83,63,45,35,98,45,49,74,82,14,17,30,23,1,2R_16110400_16112800_2R_16121600_16124000
19,59,75,25,20,21,27,33,23,20,24,38,22,17,30,39,17,15,28,21,1,2R_16102400_16104800_2R_16113600_16116000
8,32,60,15,9,9,9,10,4,18,5,30,8,6,6,12,11,8,18,11,1,2R_16094400_16096800_2R_16105600_16108000
11,34,50,14,14,10,20,16,6,8,4,14,2,6,4,10,4,3,9,6,1,2L_12480000_12482400_2L_12504800_12507200
9,21,35,11,13,14,14,13,5,5,7,14,6,6,14,7,1,1,3,4,1,2L_12472000_12474400_2L_12496800_12499200
7,21,38,11,10,10,12,13,8,3,2,12,6,7,11,5,4,2,3,1,1,2L_12464000_12466400_2L_12488800_12491200
11,34,30,21,21,14,26,25,5,5,5,18,10,8,11,12,5,3,7,5,1,2L_12456000_12458400_2L_12480800_12483200
9,17,26,4,9,5,11,9,3,6,7,6,5,3,7,5,5,0,7,5,1,2L_12448000_12450400_2L_12472800_12475200
1,16,23,7,2,9,2,8,3,2,0,4,7,0,5,6,2,2,2,1,1,2L_12440000_12442400_2L_12464800_12467200
7,18,16,6,3,2,8,7,1,2,2,12,1,3,2,5,7,8,14,4,1,2L_12432000_12434400_2L_12456800_12459200
5,31,22,9,5,8,7,10,5,6,9,16,3,6,4,4,7,6,9,16,1,2L_12424000_12426400_2L_12448800_12451200
9,9,16,4,7,3,2,5,5,2,3,8,2,2,3,1,4,4,8,5,1,2L_12416000_12418400_2L_12440800_12443200
4,7,11,3,1,2,1,4,0,4,2,9,2,1,2,1,3,4,7,2,1,2L_12408000_12410400_2L_12432800_12435200
2,6,6,5,1,3,4,3,1,3,3,5,2,6,0,1,3,3,6,4,1,3L_18643200_18645600_3L_18702400_18704800
2,7,9,7,3,3,1,5,2,5,3,13,4,1,8,2,3,1,3,3,1,3L_18635200_18637600_3L_18694400_18696800
7,6,9,4,0,3,0,3,0,1,1,7,2,2,1,4,1,3,1,3,1,3L_18627200_18629600_3L_18686400_18688800
5,20,22,3,5,7,10,12,1,1,0,4,3,1,3,5,1,4,1,7,1,3L_18619200_18621600_3L_18678400_18680800
3,13,12,6,1,3,1,6,4,1,0,6,2,0,1,4,4,1,3,3,1,3L_18611200_18613600_3L_18670400_18672800
5,3,16,4,3,3,9,2,4,3,0,6,1,1,1,4,2,2,8,5,1,3L_18603200_18605600_3L_18662400_18664800
1,9,11,2,1,3,4,1,1,1,1,3,1,1,2,2,2,3,5,2,1,3L_18595200_18597600_3L_18654400_18656800
1,5,3,3,2,2,3,5,1,0,0,3,0,1,6,3,0,0,0,0,1,3L_18587200_18589600_3L_18646400_18648800
1,6,8,4,1,3,1,5,5,3,1,0,0,1,1,5,0,1,1,2,1,3L_18579200_18581600_3L_18638400_18640800
3,6,14,3,2,2,2,4,0,0,1,0,1,2,2,0,2,1,0,1,1,3L_18571200_18573600_3L_18630400_18632800
0,5,2,2,1,3,2,4,0,2,0,3,1,2,0,1,1,0,1,1,1,3R_14902400_14904800_3R_15118400_15120800
2,2,9,2,0,1,6,2,0,0,2,2,0,0,2,1,1,0,4,0,1,3R_14894400_14896800_3R_15110400_15112800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3R_14886400_14888800_3R_15102400_15104800
1,10,6,3,1,3,0,4,0,0,0,3,0,0,1,0,0,0,1,1,1,3R_14878400_14880800_3R_15094400_15096800
2,4,5,1,0,0,0,1,0,2,1,1,0,2,0,0,0,1,1,0,1,3R_14870400_14872800_3R_15086400_15088800
0,11,4,6,0,1,2,3,0,0,1,3,2,0,1,1,1,0,1,1,1,3R_14862400_14864800_3R_15078400_15080800
0,3,3,3,0,1,0,0,0,1,0,2,0,0,1,0,2,0,2,1,1,3R_14854400_14856800_3R_15070400_15072800
0,7,4,3,0,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,3R_14846400_14848800_3R_15062400_15064800
1,7,9,5,1,2,2,0,0,0,0,2,0,0,0,2,2,1,0,1,1,3R_14838400_14840800_3R_15054400_15056800
2,1,9,2,1,0,2,2,1,1,1,0,1,0,1,2,1,2,0,1,1,3R_14830400_14832800_3R_15046400_15048800
10,56,49,22,21,28,34,40,35,32,23,69,33,22,42,52,17,8,15,17,1,2L_2816000_2818400_2L_2832800_2835200
11,52,49,18,27,26,54,43,22,30,26,48,22,19,36,43,12,9,28,11,1,2L_2808000_2810400_2L_2824800_2827200
10,43,58,26,35,26,52,40,20,19,18,48,23,19,33,39,13,10,32,19,1,2L_2800000_2802400_2L_2816800_2819200
13,43,46,30,38,34,58,42,53,33,25,82,38,27,54,56,11,8,25,28,1,2L_2792000_2794400_2L_2808800_2811200
13,37,67,16,26,26,31,31,34,20,21,48,25,34,48,49,10,10,28,16,1,2L_2784000_2786400_2L_2800800_2803200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2L_2776000_2778400_2L_2792800_2795200
16,56,72,39,31,39,40,37,19,25,16,52,12,18,24,22,21,16,31,17,1,2L_2768000_2770400_2L_2784800_2787200
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2L_2760000_2762400_2L_2776800_2779200
7,35,32,20,8,11,20,7,4,4,4,10,3,3,3,3,12,15,18,14,1,2L_2752000_2754400_2L_2768800_2771200
9,52,43,27,16,14,18,22,2,3,4,11,11,9,8,10,14,11,18,12,1,2L_2744000_2746400_2L_2760800_2763200
2,6,7,4,5,4,7,2,2,1,0,1,3,1,1,4,1,0,1,1,1,3L_9948000_9950400_3L_10141600_10144000
2,8,7,1,2,3,4,2,0,1,1,4,0,1,5,1,2,0,2,0,1,3L_9940000_9942400_3L_10133600_10136000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3L_9932000_9934400_3L_10125600_10128000
3,4,8,1,1,0,2,4,4,1,0,2,1,3,1,0,1,0,3,2,1,3L_9924000_9926400_3L_10117600_10120000
1,6,6,2,1,4,2,4,3,2,3,5,0,1,3,0,0,2,3,0,1,3L_9916000_9918400_3L_10109600_10112000
0,5,6,2,2,3,1,5,0,0,0,3,1,0,3,1,2,1,2,3,1,3L_9908000_9910400_3L_10101600_10104000
1,4,4,2,1,2,4,1,2,0,0,0,0,1,4,0,1,6,1,6,1,3L_9900000_9902400_3L_10093600_10096000
2,4,4,1,0,1,2,2,1,0,0,0,0,1,0,0,2,0,1,0,1,3L_9892000_9894400_3L_10085600_10088000
1,3,6,1,0,1,1,4,0,0,0,1,0,0,0,0,0,2,3,1,1,3L_9884000_9886400_3L_10077600_10080000
0,3,3,0,1,2,2,4,0,1,1,1,0,0,1,0,1,1,0,1,1,3L_9876000_9878400_3L_10069600_10072000
4,11,11,6,6,3,7,5,4,5,4,5,2,3,3,11,5,1,3,2,1,3R_14126400_14128800_3R_14209600_14212000
0,0,1,2,0,1,0,1,2,1,0,2,1,0,1,1,0,0,1,1,1,3R_14118400_14120800_3R_14201600_14204000
2,2,5,0,3,0,1,1,2,1,1,3,2,0,4,5,0,0,1,2,1,3R_14110400_14112800_3R_14193600_14196000
2,7,14,6,4,3,8,9,9,4,4,6,5,2,6,10,2,4,4,0,1,3R_14102400_14104800_3R_14185600_14188000
2,10,9,3,1,2,5,6,2,4,4,9,1,6,7,12,3,1,4,4,1,3R_14094400_14096800_3R_14177600_14180000
0,10,7,1,0,2,2,3,2,0,0,4,1,2,0,4,0,1,3,2,1,3R_14086400_14088800_3R_14169600_14172000
3,9,22,1,2,6,5,3,1,6,3,3,2,6,4,5,3,2,1,4,1,3R_14078400_14080800_3R_14161600_14164000
1,9,10,5,1,3,6,5,3,3,1,2,6,1,2,2,2,1,3,2,1,3R_14070400_14072800_3R_14153600_14156000
3,12,11,5,0,1,1,4,1,1,0,5,1,2,1,1,2,3,1,3,1,3R_14062400_14064800_3R_14145600_14148000
2,7,12,4,1,0,1,2,0,1,1,3,1,1,2,3,1,2,3,2,1,3R_14054400_14056800_3R_14137600_14140000
10,62,72,35,28,22,35,23,4,13,8,29,9,6,11,17,15,2,17,6,1,3R_25039200_25041600_3R_25053600_25056000
15,64,58,32,19,21,21,27,23,14,14,29,10,11,16,23,11,13,21,16,1,3R_25031200_25033600_3R_25045600_25048000
15,62,65,35,33,25,48,35,17,24,10,38,17,8,28,18,16,19,16,17,1,3R_25023200_25025600_3R_25037600_25040000
16,48,54,13,15,8,20,10,21,16,13,41,11,12,22,21,24,12,29,23,1,3R_25015200_25017600_3R_25029600_25032000
12,46,60,30,34,38,56,46,41,40,32,50,32,35,61,59,18,18,32,30,1,3R_25007200_25009600_3R_25021600_25024000
16,73,65,42,55,44,103,52,82,49,38,81,40,32,75,81,24,30,50,38,1,3R_24999200_25001600_3R_25013600_25016000
18,52,44,21,23,40,37,45,43,30,23,57,23,36,61,53,14,14,27,27,1,3R_24991200_24993600_3R_25005600_25008000
13,69,80,26,46,49,74,67,63,53,44,103,45,57,75,64,29,17,45,31,1,3R_24983200_24985600_3R_24997600_25000000
9,36,42,22,28,26,36,40,37,26,23,55,37,28,41,53,23,12,21,27,1,3R_24975200_24977600_3R_24989600_24992000
17,47,79,29,34,36,47,54,39,31,26,67,34,32,57,65,20,11,25,18,1,3R_24967200_24969600_3R_24981600_24984000
4,19,20,10,8,5,11,10,8,12,3,8,3,1,9,4,9,4,9,10,1,X_19257600_19260000_X_19281600_19284000
10,22,29,12,24,26,24,22,7,10,9,19,8,13,9,20,12,14,18,13,1,X_19249600_19252000_X_19273600_19276000
6,20,24,6,7,3,7,7,3,2,4,10,1,3,6,4,2,8,6,7,1,X_19241600_19244000_X_19265600_19268000
10,37,41,24,19,13,24,22,9,9,10,27,13,10,19,13,12,5,14,12,1,X_19233600_19236000_X_19257600_19260000
8,18,28,9,14,12,19,12,5,5,5,16,2,5,5,12,2,6,8,5,1,X_19225600_19228000_X_19249600_19252000
5,20,33,9,6,16,11,27,10,11,7,15,4,3,13,5,3,7,2,8,1,X_19217600_19220000_X_19241600_19244000
11,26,27,17,50,32,80,55,13,8,10,15,12,12,19,26,9,10,24,19,1,X_19209600_19212000_X_19233600_19236000
7,17,28,9,2,10,12,9,2,1,1,10,1,4,1,5,3,1,9,3,1,X_19201600_19204000_X_19225600_19228000
8,24,33,14,4,6,8,10,9,7,5,25,5,4,5,17,6,6,12,17,1,X_19193600_19196000_X_19217600_19220000
4,30,29,16,16,21,21,18,6,10,8,23,6,6,10,8,10,12,16,16,1,X_19185600_19188000_X_19209600_19212000
4,12,18,7,4,4,6,3,8,9,3,8,2,1,3,7,5,3,3,4,1,2L_3498400_3500800_2L_3565600_3568000
7,12,10,2,0,1,2,0,3,3,2,7,2,3,6,4,1,3,7,5,1,2L_3490400_3492800_2L_3557600_3560000
3,10,13,6,3,3,4,7,0,1,3,10,2,1,7,3,0,5,2,2,1,2L_3482400_3484800_2L_3549600_3552000
4,14,15,5,2,3,4,5,2,3,2,7,2,0,5,1,2,3,6,3,1,2L_3474400_3476800_2L_3541600_3544000
1,5,5,4,0,2,2,2,0,0,0,1,0,0,0,1,0,1,4,1,1,2L_3466400_3468800_2L_3533600_3536000
3,15,19,6,6,6,12,6,1,2,1,4,2,0,3,1,6,4,9,8,1,2L_3458400_3460800_2L_3525600_3528000
2,14,8,5,9,5,9,7,1,1,1,7,0,0,5,3,4,1,6,3,1,2L_3450400_3452800_2L_3517600_3520000
0,12,8,4,4,1,3,1,2,2,0,3,2,0,2,3,2,3,3,4,1,2L_3442400_3444800_2L_3509600_3512000
1,8,14,6,0,4,3,3,4,4,5,2,5,1,2,2,1,4,3,3,1,2L_3434400_3436800_2L_3501600_3504000
4,4,13,1,1,0,9,1,1,2,0,3,2,2,1,1,2,1,1,2,1,2L_3426400_3428800_2L_3493600_3496000
22,71,77,32,35,41,53,58,48,38,25,84,43,32,61,59,26,15,28,28,1,2R_12398400_12400800_2R_12408000_12410400
23,46,88,24,39,33,59,66,42,42,32,78,29,28,61,52,12,9,25,15,1,2R_12390400_12392800_2R_12400000_12402400
23,56,95,31,42,39,49,48,48,49,41,70,46,37,56,58,21,16,28,16,1,2R_12382400_12384800_2R_12392000_12394400
25,91,86,39,69,61,89,72,62,72,41,156,70,56,107,113,39,23,60,46,1,2R_12374400_12376800_2R_12384000_12386400
29,79,97,41,46,51,74,60,59,51,52,110,56,53,86,94,33,14,39,32,1,2R_12366400_12368800_2R_12376000_12378400
30,89,113,55,59,64,99,86,90,71,53,137,57,72,117,97,34,29,61,52,1,2R_12358400_12360800_2R_12368000_12370400
17,55,74,26,45,34,54,47,27,41,35,71,32,45,61,60,15,15,28,21,1,2R_12350400_12352800_2R_12360000_12362400
22,62,71,26,24,24,34,37,16,13,16,36,10,8,17,22,11,13,18,19,1,2R_12342400_12344800_2R_12352000_12354400
19,81,73,50,16,16,31,28,11,7,11,30,4,8,10,16,14,17,20,29,1,2R_12334400_12336800_2R_12344000_12346400
23,65,73,30,39,19,37,27,16,25,15,65,18,15,21,12,14,9,27,21,1,2R_12326400_12328800_2R_12336000_12338400
1,1,1,1,2,0,0,1,0,1,0,1,0,0,0,0,1,0,2,2,1,X_16752800_16755200_X_17100800_17103200
0,1,3,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,X_16744800_16747200_X_17092800_17095200
0,0,1,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,3,1,X_16736800_16739200_X_17084800_17087200
0,4,4,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,X_16728800_16731200_X_17076800_17079200
